Company,Model,MAE,MAPE,RMSE,Training_time
Alibaba,LSTM,11.069003207624451,12.263301099079277,15.022452332352326,83.2842583656311
BNPParibas,LSTM,4.489413237768757,13.881668144994661,5.074188039526809,88.70404124259949
Google,LSTM,34.33743380712084,26.91496430687481,38.620671434118954,79.32822680473328
ROSNEFT,LSTM,114.88650687636843,20.13909816460149,132.03840342371376,53.10833668708801
SHELL,LSTM,10.224265185269443,16.334501161586758,10.6595678433172,82.27685761451721
Alibaba,ARIMA,12.72436695579518,13.606416541299367,15.843759797741319,0.19527411460876465
BNPParibas,ARIMA,8.288143629986955,26.36428904283889,8.679869673881049,0.265139102935791
Google,ARIMA,18.91970068082186,15.192440940125222,23.085877921398954,0.15785980224609375
ROSNEFT,ARIMA,64.80103508787744,13.513755588506946,82.47547395505799,0.10977435111999512
SHELL,ARIMA,9.293301435009255,15.005174812049422,9.982131575531028,0.2688734531402588
Alibaba,PROPHET,90.73408604415138,104.29866373710477,93.03801815974904,1.4840173721313477
BNPParibas,PROPHET,19.773631669547573,63.57823165087279,20.294679924909865,1.0616259574890137
Google,PROPHET,50.90737190999344,41.38994295363672,58.20298582979913,0.9567022323608398
ROSNEFT,PROPHET,238.3939723616611,48.87000406321532,263.8631817810756,1.0195386409759521
SHELL,PROPHET,8.829470806879524,14.000086934950422,11.212082990151767,1.2260494232177734
